gene_id,gene_name,info_gain,gain_ratio,sym_uncer,chi-square
ADH1A|124,ADH1A,0,NA,0,0
ADH1B|125,ADH1B,0,NA,0,0
ADH1C|126,ADH1C,0,NA,0,0
ADH4|127,ADH4,0,NA,0,0
ADH5|128,ADH5,0,NA,0,0
ADH6|130,ADH6,0,NA,0,0
ADH7|131,ADH7,0,NA,0,0
ADHFE1|137872,ADHFE1,0,NA,0,0
ADI1|55256,ADI1,0,NA,0,0
ADIG|149685,ADIG,0,NA,0,0
ADIPOQ|9370,ADIPOQ,0,NA,0,0
ADIPOR1|51094,ADIPOR1,0,NA,0,0
ADIPOR2|79602,ADIPOR2,0,NA,0,0
ADK|132,ADK,0,NA,0,0
ADM2|79924,ADM2,0,NA,0,0
ADM|133,ADM,0,NA,0,0
ADNP2|22850,ADNP2,0,NA,0,0
ADNP|23394,ADNP,0,NA,0,0
ADORA1|134,ADORA1,0,NA,0,0
ADORA2A|135,ADORA2A,0,NA,0,0
ADORA2B|136,ADORA2B,0,NA,0,0
ADORA3|140,ADORA3,0,NA,0,0
ADO|84890,ADO,0,NA,0,0
ADPGK|83440,ADPGK,0,NA,0,0
ADPRHL1|113622,ADPRHL1,0,NA,0,0
ADPRHL2|54936,ADPRHL2,0,NA,0,0
ADPRH|141,ADPRH,0,NA,0,0
ADRA1A|148,ADRA1A,0,NA,0,0
ADRA1B|147,ADRA1B,0,NA,0,0
ADRA1D|146,ADRA1D,0,NA,0,0
ADRA2A|150,ADRA2A,0,NA,0,0
ADRA2B|151,ADRA2B,0,NA,0,0
ADRA2C|152,ADRA2C,0,NA,0,0
ADRB1|153,ADRB1,0,NA,0,0
ADRB2|154,ADRB2,0,NA,0,0
ADRB3|155,ADRB3,0,NA,0,0
ADRBK1|156,ADRBK1,0,NA,0,0
ADRBK2|157,ADRBK2,0,NA,0,0
ADRM1|11047,ADRM1,0,NA,0,0
ADSL|158,ADSL,0,NA,0,0
ADSSL1|122622,ADSSL1,0,NA,0,0
ADSS|159,ADSS,0,NA,0,0
AEBP1|165,AEBP1,0,NA,0,0
